# x_m,y_m,w_tr_right,w_tr_left_m
16.094810,-708.582177,5.904149,5.406183
16.908403,-709.178265,5.930528,5.381101
17.722505,-709.773663,5.956558,5.355563
18.537120,-710.368362,5.982395,5.329656
19.352253,-710.962356,6.008177,5.303476
20.167909,-711.555636,6.033952,5.277120
20.984091,-712.148196,6.059901,5.250723
21.800805,-712.740027,6.086267,5.224494
22.618055,-713.331122,6.112926,5.198667
23.435845,-713.921473,6.139298,5.173421
24.254180,-714.511074,6.164718,5.148905
25.073063,-715.099917,6.188784,5.125328
25.892500,-715.687995,6.211422,5.102946
26.712493,-716.275300,6.232655,5.081973
27.533047,-716.861826,6.252352,5.062560
28.354167,-717.447566,6.270282,5.044862
29.175854,-718.032512,6.286321,5.029032
29.998115,-718.616658,6.300430,5.015161
30.820951,-719.199997,6.312516,5.003239
31.644366,-719.782522,6.322493,4.993160
32.468364,-720.364227,6.330462,4.984774
33.292949,-720.945105,6.336694,4.977945
34.118122,-721.525151,6.341421,4.972528
34.943888,-722.104357,6.344787,4.968314
35.770250,-722.682717,6.346999,4.965046
36.597210,-723.260226,6.348365,4.962515
37.424772,-723.836877,6.349101,4.960572
38.252938,-724.412665,6.349306,4.959023
39.081710,-724.987583,6.349152,4.957601
39.911092,-725.561626,6.348948,4.956057
40.741085,-726.134787,6.348965,4.954218
41.571693,-726.707063,6.349349,4.951949
42.402917,-727.278447,6.350266,4.949129
43.234760,-727.848933,6.351993,4.945666
44.067224,-728.418517,6.354780,4.941473
44.900310,-728.987194,6.358737,4.936482
45.734022,-729.554957,6.363898,4.930697
46.568360,-730.121803,6.370284,4.924175
47.403326,-730.687727,6.377890,4.916931
48.238923,-731.252723,6.386699,4.908962
49.075152,-731.816786,6.396689,4.900336
49.912013,-732.379913,6.407720,4.891198
50.749509,-732.942099,6.419476,4.881705
51.587642,-733.503340,6.431590,4.872022
52.426411,-734.063630,6.443740,4.862295
53.265819,-734.622967,6.455659,4.852614
54.105866,-735.181345,6.467183,4.843085
54.946554,-735.738762,6.478343,4.833904
55.787882,-736.295213,6.489259,4.825293
56.629853,-736.850694,6.499848,4.817416
57.472467,-737.405202,6.509716,4.810401
58.315724,-737.958733,6.518316,4.804394
59.159624,-738.511285,6.525209,4.799532
60.004168,-739.062853,6.530201,4.795859
60.849357,-739.613436,6.533339,4.793300
61.695191,-740.163029,6.534925,4.791725
62.541669,-740.711630,6.535521,4.791071
63.388791,-741.259237,6.535767,4.791359
64.236558,-741.805847,6.536107,4.792604
65.084970,-742.351458,6.536775,4.794729
65.934025,-742.896066,6.538000,4.797568
66.783724,-743.439671,6.540071,4.800953
67.634065,-743.982270,6.543218,4.804769
68.485050,-744.523862,6.547551,4.808892
69.336676,-745.064443,6.553095,4.813180
70.188943,-745.604014,6.559778,4.817517
71.041851,-746.142571,6.567429,4.821822
